time,seconds,ESSMaxChargePower,BMSMaxChargePower,PCSMaxChargePower,PCSOutputPower
2021-07-15 06:50:11.766675,0,-3373.4968165117243,-3299.0062,-3510,-1063
2021-07-15 06:50:12.763831,1,-2892.8184640726404,-3325.3824000000004,-3510,-1482
2021-07-15 06:50:13.769705,2,-3193.2393728792586,-3348.3384,-3510,-1498
2021-07-15 06:50:14.764692,3,-3302.5651719006123,-3349.659,-3510,-1500
2021-07-15 06:50:15.765839,4,-3297.577709981403,-3350.732,-3510,-1499
2021-07-15 06:50:16.770402,5,-3295.329311842838,-3351.3174000000004,-3510,-1499
2021-07-15 06:50:17.768070,6,-3287.287673784459,-3351.8972,-3510,-1498
2021-07-15 06:50:18.765404,7,-3282.604707498898,-3352.9058999999997,-3510,-1499
2021-07-15 06:50:19.769006,8,-3284.189258805243,-3352.2762000000002,-3510,-1499
2021-07-15 06:50:20.767397,9,-3283.1331355170114,-3351.6429,-3510,-1499
2021-07-15 06:50:21.765868,10,-3314.618876285438,-3350.5266,-3510,-1498
2021-07-15 06:50:22.779517,11,-3321.9987207216477,-3351.2852000000003,-3510,-1499
2021-07-15 06:50:23.768606,12,-3315.763213386978,-3351.563,-3510,-1499
2021-07-15 06:50:24.778309,13,-3320.014817703858,-3351.8394,-3510,-1499
2021-07-15 06:50:25.766814,14,-3319.6299196859204,-3353.2758000000003,-3510,-1499
2021-07-15 06:50:26.780318,15,-3310.4396071944334,-3352.8323,-3510,-1500
2021-07-15 06:50:27.769071,16,-3308.785914993608,-3352.8664,-3510,-1500
2021-07-15 06:50:28.767184,17,-3298.628619222243,-3352.4210999999996,-3510,-1500
2021-07-15 06:50:29.767280,18,-3306.3602927088905,-3353.1384000000003,-3510,-1499
2021-07-15 06:50:30.778154,19,-3309.261408697223,-3354.0948,-3510,-1499
2021-07-15 06:50:31.766544,20,-3318.447697269826,-3353.409,-3510,-1499
2021-07-15 06:50:32.767176,21,-3313.146603782457,-3353.2003999999997,-3510,-1500
2021-07-15 06:50:33.766304,22,-3322.0062280651546,-3352.2744,-3510,-1500
2021-07-15 06:50:34.768620,23,-3326.64648313879,-3353.2296,-3510,-2187
2021-07-15 06:50:35.768796,24,-2477.1858913340175,-3321.9503999999997,-3510,-2966
2021-07-15 06:50:36.776762,25,-3188.2732526870927,-3350.3015,-3510,-2996
2021-07-15 06:50:37.766541,26,-3203.0995188835677,-3351.1929,-3510,-2997
2021-07-15 06:50:38.766556,27,-3206.763887264598,-3352.1046,-3510,-2997
2021-07-15 06:50:39.766499,28,-3223.6109002161484,-3350.88,-3510,-2995
2021-07-15 06:50:40.766150,29,-3236.469846149036,-3352.284,-3510,-2996
2021-07-15 06:50:41.767710,30,-3239.8156196472596,-3352.2548,-3510,-2997
2021-07-15 06:50:42.764083,31,-3237.117311334315,-3353.4243,-3510,-2997
2021-07-15 06:50:43.767083,32,-3239.0986607724567,-3352.692,-3510,-2997
2021-07-15 06:50:44.765034,33,-3228.4286850357785,-3352.1928000000003,-3510,-2997
2021-07-15 06:50:45.769402,34,-3224.053345097237,-3353.1276000000003,-3510,-2997
2021-07-15 06:50:46.766653,35,-3231.5207727118104,-3353.595,-3510,-2997
2021-07-15 06:50:47.766126,36,-3230.4338076779513,-3353.595,-3510,-2997
2021-07-15 06:50:48.765979,37,-3225.5235482069875,-3353.328,-3510,-2996
