"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:19:18.435958396 +0000 UTC m=+31.797151398,200,3000,0,hashMap,1.317089096s,1.330126073s,1.01,1.317089096s,1.00,1.433923075s,1.09
2023-01-20 20:19:22.680442159 +0000 UTC m=+36.041635162,200,3000,1,syncMap,1.383719421s,1.387691959s,1.00,1.465961602s,1.06,1.383719421s,1.00
2023-01-20 20:19:26.910758992 +0000 UTC m=+40.271951996,200,3000,2,syncMap,1.400243276s,1.408184163s,1.01,1.413840283s,1.01,1.400243276s,1.00
2023-01-20 20:19:30.896786445 +0000 UTC m=+44.257979447,200,3000,3,syncMap,1.257583783s,1.4285566s,1.14,1.292121227s,1.03,1.257583783s,1.00
2023-01-20 20:19:34.774998345 +0000 UTC m=+48.136022292,200,3000,4,goMap,1.193558792s,1.193558792s,1.00,1.273619234s,1.07,1.400563155s,1.17
2023-01-20 20:19:38.719422834 +0000 UTC m=+52.080446773,200,3000,5,hashMap,1.308338823s,1.309972439s,1.00,1.308338823s,1.00,1.317355363s,1.01
2023-01-20 20:19:42.530968095 +0000 UTC m=+55.891992036,200,3000,6,hashMap,1.2115559s,1.326949585s,1.10,1.2115559s,1.00,1.266299634s,1.05
2023-01-20 20:19:46.646214875 +0000 UTC m=+60.007238828,200,3000,7,goMap,1.293707655s,1.293707655s,1.00,1.473361198s,1.14,1.340346303s,1.04
2023-01-20 20:19:50.784768744 +0000 UTC m=+64.145792690,200,3000,8,goMap,1.349664216s,1.349664216s,1.00,1.370042312s,1.02,1.411173571s,1.05
2023-01-20 20:19:54.98552905 +0000 UTC m=+68.346552999,200,3000,9,hashMap,1.348849194s,1.379268821s,1.02,1.348849194s,1.00,1.464718377s,1.09
2023-01-20 20:20:00.369151764 +0000 UTC m=+73.730175708,200,3000,10,syncMap,1.641659363s,1.94044328s,1.18,1.780721059s,1.08,1.641659363s,1.00
2023-01-20 20:20:05.044908034 +0000 UTC m=+78.404157549,200,3000,11,syncMap,1.409305902s,1.646626544s,1.17,1.606965811s,1.14,1.409305902s,1.00
2023-01-20 20:20:11.542290727 +0000 UTC m=+84.901540244,200,3000,12,goMap,1.846862659s,1.846862659s,1.00,2.630122039s,1.42,2.009698724s,1.09
2023-01-20 20:20:16.979437165 +0000 UTC m=+90.338686674,200,3000,13,syncMap,1.544587433s,2.15911469s,1.40,1.720493956s,1.11,1.544587433s,1.00
2023-01-20 20:20:21.578780406 +0000 UTC m=+94.938029920,200,3000,14,hashMap,1.424867244s,1.501099663s,1.05,1.424867244s,1.00,1.664219376s,1.17
2023-01-20 20:20:26.520879739 +0000 UTC m=+99.880129285,200,3000,15,goMap,1.485860541s,1.485860541s,1.00,1.525324856s,1.03,1.918856141s,1.29
2023-01-20 20:20:31.589660831 +0000 UTC m=+104.948910354,200,3000,16,syncMap,1.568359789s,1.864298402s,1.19,1.624884094s,1.04,1.568359789s,1.00
2023-01-20 20:20:36.044293838 +0000 UTC m=+109.409833231,200,3000,17,hashMap,1.333384624s,1.693283665s,1.27,1.333384624s,1.00,1.425716339s,1.07
2023-01-20 20:20:42.815735337 +0000 UTC m=+116.181274736,200,3000,18,hashMap,2.203217453s,2.342286468s,1.06,2.203217453s,1.00,2.207751693s,1.00
2023-01-20 20:20:48.678995817 +0000 UTC m=+122.044535224,200,3000,19,hashMap,1.726929836s,1.751545624s,1.01,1.726929836s,1.00,2.372957071s,1.37
2023-01-20 20:20:54.277422609 +0000 UTC m=+127.642961999,200,3000,20,hashMap,1.496684176s,2.221832891s,1.48,1.496684176s,1.00,1.865577191s,1.25
